ID;PMID;Title;Authors;Citation;First Author;Journal/Book;Publication Year;Create Date;PMCID;NIHMS ID;DOI
2;21345815;EULAR Sjogren's Syndrome Patient Reported Index (ESSPRI): development of a consensus patient index for primary Sjogren's syndrome;"Seror R, Ravaud P, Mariette X, Bootsma H, Theander E, Hansen A, Ramos-Casals M, Dörner T, Bombardieri S, Hachulla E, Brun JG, Kruize AA, Praprotnik S, Tomsic M, Gottenberg JE, Devauchelle V, Devita S, Vollenweider C, Mandl T, Tzioufas A, Carsons S, Saraux A, Sutcliffe N, Vitali C, Bowman SJ; EULAR Sjögren's Task Force.";"Ann Rheum Dis. 2011 Jun;70(6):968-72. doi: 10.1136/ard.2010.143743. Epub 2011 Feb 22.";Seror R;Ann Rheum Dis;2011;25/02/2011;NA;NA;10.1136/ard.2010.143743
3;16297185;The CLASI (Cutaneous Lupus Erythematosus Disease Area and Severity Index): an outcome instrument for cutaneous lupus erythematosus;Albrecht J, Taylor L, Berlin JA, Dulay S, Ang G, Fakharzadeh S, Kantor J, Kim E, Militello G, McGinnis K, Richardson S, Treat J, Vittorio C, Van Voorhees A, Werth VP.;"J Invest Dermatol. 2005 Nov;125(5):889-94. doi: 10.1111/j.0022-202X.2005.23889.x.";Albrecht J;J Invest Dermatol;2005;22/11/2005;PMC3928016;NIHMS481525;10.1111/j.0022-202X.2005.23889.x
4;30155940;Defining and validating a Body Skin Discomfort Index (BSDI);Segot-Chicq E, Salah S, Jullien M, Portal N, Deschodt C, Gagnebien D.;"Int J Cosmet Sci. 2018 Oct;40(5):488-493. doi: 10.1111/ics.12490. Epub 2018 Oct 4.";Segot-Chicq E;Int J Cosmet Sci;2018;30/08/2018;NA;NA;10.1111/ics.12490
5;29517552;Validation of SIMPLE Index for Lupus Disease Activity;Gandhi N, Arora S, Sengupta M, Sequeira W, Jolly M, Block JA.;"J Clin Rheumatol. 2018 Sep;24(6):313-318. doi: 10.1097/RHU.0000000000000738.";Gandhi N;J Clin Rheumatol;2018;09/03/2018;NA;NA;10.1097/RHU.0000000000000738
6;28596001;Establishing and Validating an Ichthyosis Severity Index;Marukian NV, Deng Y, Gan G, Ren I, Thermidor W, Craiglow BG, Milstone LM, Choate KA.;"J Invest Dermatol. 2017 Sep;137(9):1834-1841. doi: 10.1016/j.jid.2017.04.037. Epub 2017 Jun 6.";Marukian NV;J Invest Dermatol;2017;10/06/2017;NA;NA;10.1016/j.jid.2017.04.037
7;32703843;Development and preliminary validation of the Behçet's syndrome Overall Damage Index (BODI);"Piga M, Floris A, Espinosa G, Serpa Pinto L, Kougkas N, Lo Monaco A, Lopalco G, Orlando I, Pirani V, Santos E, Bertsias G, Cantarini L, Cauli A, Cervera R, Correia J, Govoni M, Iannone F, Neri P, Martins Silva A, Vasconcelos C, Muntoni M, Mathieu A; the BODI Project Group.";"RMD Open. 2020 Jul;6(2):e001192. doi: 10.1136/rmdopen-2020-001192.";Piga M;RMD Open;2020;25/07/2020;PMC7425117;NA;10.1136/rmdopen-2020-001192
8;18067478;Development and validation of the Dermatomyositis Skin Severity Index;Carroll CL, Lang W, Snively B, Feldman SR, Callen J, Jorizzo JL.;"Br J Dermatol. 2008 Feb;158(2):345-50. doi: 10.1111/j.1365-2133.2007.08342.x. Epub 2007 Dec 7.";Carroll CL;Br J Dermatol;2008;11/12/2007;NA;NA;10.1111/j.1365-2133.2007.08342.x
9;33320752;Therapeutic Index for Local Infections score validity: a retrospective European analysis;Dissemond J, Strohal R, Mastronicola D, Senneville E, Moisan C, Edward-Jones V, Mahoney K, Junka A, Bartoszewicz M, Verdú-Soriano J.;"J Wound Care. 2020 Dec 2;29(12):726-734. doi: 10.12968/jowc.2020.29.12.726.";Dissemond J;J Wound Care;2020;15/12/2020;NA;NA;10.12968/jowc.2020.29.12.726
10;34288457;Development and validation of a Behçet's Disease Damage Index for adults with BD: An Explicit, Composite and Rated (ECR) tool;"Gheita TA, Hammam N, Fawzy SM, Abd El-Latif E, El-Gazzar II, Samy N, El-Hammady DH, Abdel Noor R, El-Shebini E, El-Najjar AR, Eesa NN, Salem MN, Ibrahim SE, El-Essawi DF, Elsaman AM, Senara S, Fathi HM, Sallam RA, El Shereef RR, Abd Elazeem MI, Fawzy RM, Khalil NM, Shahin D, El-Saadany HM, ElKhalifa M, Nasef SI, Abdalla AM, Noshy N, Said EA, Saad E, Moshrif AH, El-Shanawany AT, Abdel-Fattah YH, Raafat HA, Khalil HM; Egyptian College of Rheumatology-Behçet's Disease Study Group (ECR-BDSG).";"Int J Rheum Dis. 2021 Aug;24(8):1071-1079. doi: 10.1111/1756-185X.14166. Epub 2021 Jul 19.";Gheita TA;Int J Rheum Dis;2021;21/07/2021;NA;NA;10.1111/1756-185X.14166
11;33247832;Development and validation of a new method for potential use of Psoriasis Area and Severity Index in teledermatology;Wu J, Petto H, Dutronc Y, Burkhardt N, Gebauer K, Gooderham M.;"Australas J Dermatol. 2021 Feb;62(1):e114-e117. doi: 10.1111/ajd.13412. Epub 2020 Aug 16.";Wu J;Australas J Dermatol;2021;28/11/2020;PMC7891613;NA;10.1111/ajd.13412
